,price,model,model,year,title_status,mileage,color,vin,state
0,6300,toyota,cruiser,2008,clean vehicle,274117,black,  jtezu11f88k007763,new jersey
1,2899,ford,se,2011,clean vehicle,190552,silver,  2fmdk3gc4bbb02217,tennessee
2,5350,dodge,mpv,2018,clean vehicle,39590,silver,  3c4pdcgg5jt346413,georgia
3,25000,ford,door,2014,clean vehicle,64146,blue,  1ftfw1et4efc23745,virginia
4,27700,chevrolet,1500,2018,clean vehicle,6654,red,  3gcpcrec2jg473991,florida
5,5700,dodge,mpv,2018,clean vehicle,45561,white,  2c4rdgeg9jr237989,texas
6,7300,chevrolet,pk,2010,clean vehicle,149050,black,  1gcsksea1az121133,georgia
7,13350,gmc,door,2017,clean vehicle,23525,gray,  1gks2gkc3hr326762,california
8,14600,chevrolet,malibu,2018,clean vehicle,9371,silver,  1g1zd5st5jf191860,florida
9,5250,ford,mpv,2017,clean vehicle,63418,black,  2fmpk3j92hbc12542,texas
10,10400,dodge,coupe,2009,clean vehicle,107856,orange,  2b3lj54t49h509675,georgia
11,12920,gmc,mpv,2017,clean vehicle,39650,white,  1gks2bkc6hr136280,california
12,31900,chevrolet,1500,2018,clean vehicle,22909,black,  3gcukrec0jg176059,tennessee
13,5430,chrysler,wagon,2017,clean vehicle,138650,gray,  2c4rc1cg5hr616095,texas
14,20700,ford,door,2013,clean vehicle,100757,black,  1ftfw1et7dfa47790,virginia
15,12710,gmc,door,2017,clean vehicle,25747,white,  1gks2gkc6hr328389,california
16,5200,kia,forte,2018,clean vehicle,46194,blue,  3kpfk4a77je198723,north carolina
17,16500,buick,encore,2018,clean vehicle,20002,red,  kl4cj1sb6jb688844,tennessee
18,5210,ford,mpv,2017,clean vehicle,35714,white,  2fmpk3j95hbb73607,texas
19,38100,ford,door,2013,clean vehicle,54380,gray,  1ft8w3dt5deb68569,virginia
20,12520,gmc,door,2017,clean vehicle,30114,white,  1gks2gkcxhr328380,california
21,7300,kia,forte,2018,clean vehicle,38823,black,  3kpfl4a79je272611,north carolina
22,15000,chevrolet,door,2015,clean vehicle,61578,black,  2gnflhe33f6214023,ohio
23,6180,ford,mpv,2017,clean vehicle,46010,blue,  2fmpk3j84hbc09276,texas
24,20800,ford,door,2013,clean vehicle,105510,silver,  1ftfw1efxdfa01008,virginia
25,11900,gmc,door,2017,clean vehicle,28040,silver,  1gks2gkc2hr327918,california
26,21500,kia,sorento,2020,clean vehicle,11451,blue,  5xypg4a59lg616029,north carolina
27,12000,buick,door,2014,clean vehicle,31039,brown,  1g4ps5sk1e4188639,ohio
28,4190,ford,doors,2017,clean vehicle,44174,white,  1fadp5auxhl109013,texas
29,13000,ford,chassis,2008,clean vehicle,93698,white,  1fdwf37r28eb95687,tennessee
30,12710,gmc,door,2017,clean vehicle,26364,silver,  1gks2gkc6hr326335,california
31,18500,infiniti,q70,2016,clean vehicle,71967,gray,  jn1by1ar7gm271292,new york
32,29800,chevrolet,camaro,1973,clean vehicle,46226,red,  1q87t3n166389,pennsylvania
33,5330,ford,mpv,2017,clean vehicle,37792,no_color,  2fmpk3j9xhbb56401,texas
34,13000,ford,convertible,2003,clean vehicle,58817,gray,  1fahp60a63y107799,virginia
35,11900,gmc,door,2017,clean vehicle,27965,black,  1gks2gkc2hr328793,california
36,16600,mercedes-benz,vans,2016,clean vehicle,110907,white,  8btpe7dd4ge127040,new york
37,19200,chevrolet,1500,2018,clean vehicle,2430,white,  1gcncneh5jz302471,tennessee
38,7320,ford,mpv,2017,clean vehicle,32366,gold,  2fmpk4k96hbb16692,texas
39,7000,ford,pk,2003,clean vehicle,176567,white,  1ftnx20p73ed69682,tennessee
40,12710,gmc,door,2017,clean vehicle,30049,white,  1gks2gkc6hr325461,california
41,16600,mercedes-benz,vans,2016,clean vehicle,97983,white,  wd4pe7dd1gp253504,new york
42,30500,chevrolet,1500,2018,clean vehicle,30442,red,  3gcukrec4jg204915,tennessee
43,6330,ford,mpv,2017,clean vehicle,38123,red,  2fmpk3j85hbb79415,texas
44,55000,ford,srw,2017,clean vehicle,15273,black,  1ft7w3bt5hee88155,pennsylvania
45,12520,gmc,door,2017,clean vehicle,28972,black,  1gks2gkcxhr324555,california
46,16200,jeep,compass,2019,clean vehicle,30061,red,  3c4njccb3kt676336,north carolina
