index,year_made,fuel_type,seats,mileage,ownership,transmission,fuel_economy,engine(cc),horsepower,torque(Nm),price,Make,Model
0,17,Petrol,5,34796,1,Automatic,7.81,2996,2996,333,86062.5,Mercedes-Benz,S-Class
1,21,Petrol,5,19023,1,Automatic,17.4,999,999,9863,12136.5,Nissan,Magnite
2,18,Diesel,5,14912,1,Automatic,20.68,1995,1995,188,32062.5,BMW,X1
3,19,Petrol,5,11419,1,Manual,16.5,1353,1353,13808,18306,Kia,Seltos
4,19,Petrol,5,27899,1,Automatic,14.67,1798,1798,17746,32400,Skoda,Superb
5,17,Petrol,5,26097,1,Manual,18.7,1199,1199,887,7357.5,Honda,Jazz
6,19,Petrol,5,22828,1,Manual,18.9,1197,1197,8186,6912,Hyundai,Grand
7,18,Petrol,5,47224,1,Manual,15.8,1591,1591,1213,12555.000000000002,Hyundai,Creta
8,15,Diesel,5,42253,2,Automatic,13.5,2987,2987,25479,56700,Mercedes-Benz,S-Class
9,19,Petrol,5,17884,1,Manual,17,1198,1198,1085,10827,Tata,Nexon
10,20,Petrol,5,24854,1,Automatic,17.4,1497,1497,1176,14782.499999999998,Honda,City
11,22,Petrol,5,10800,1,Manual,16.42,1498,1498,10455,12136.5,Renault,Duster
12,20,Diesel,5,74564,1,Automatic,18.88,1995,1995,184,10057.5,BMW,3
13,22,Petrol,5,10563,1,Automatic,18.15,998,998,11835,14782.499999999998,Hyundai,Venue
14,19,Petrol,5,16694,1,Manual,18.9,1197,1197,8186,7803,Hyundai,Grand
15,22,Petrol,5,18641,1,Manual,21,1197,1197,8180,12082.499999999998,Hyundai,i20
16,20,Diesel,5,93205,1,Automatic,18.88,1995,1995,184,11475,BMW,3
17,18,Diesel,5,32932,1,Automatic,22.69,1995,1995,190,31725,BMW,3
18,19,Petrol,5,24854,1,Manual,17,1497,1497,12136,10732.5,Ford,Ecosport
19,20,Petrol,5,29825,1,Automatic,14.1,1368,1368,16077,25582.5,Jeep,Compass
20,21,Diesel,6,21747,1,Automatic,12.4,1996,1996,21501,47250,MG,Gloster
21,10,Petrol,5,62463,1,Manual,16.1,1197,1197,85,2821.5,Maruti,Swift
22,15,Petrol,5,51573,2,Automatic,18,1497,1497,1173,8437.5,Honda,City
23,11,Petrol,5,24973,2,Manual,998,671,671,90,2862,Maruti,Wagon
24,15,Diesel,5,38619,1,Automatic,18.53,1968,1968,18774,27000,Audi,A6
25,17,Petrol,5,30447,1,Manual,15.29,1591,1591,1213,11272.5,Hyundai,Creta
26,17,Petrol,5,34930,1,Manual,21.4,1197,1197,831,6790.5,Maruti,Baleno
27,18,Petrol,5,32932,1,Manual,17.1,1496,1496,10594,9382.5,Toyota,Yaris
28,15,Diesel,7,62137,1,Automatic,12.55,2982,2982,1685,21600,Toyota,Fortuner
29,20,Petrol,5,22584,1,Automatic,16.8,1353,1353,13808,20547,Hyundai,Creta
30,18,Diesel,5,29825,1,Automatic,13.5,1999,1999,177,36382.5,Jaguar,XE
31,19,Petrol,5,26158,1,Manual,18.6,1197,1197,8186,9045,Hyundai,i20
32,20,Diesel,5,24854,1,Manual,17.1,1956,1956,170,14512.5,Jeep,Compass
33,19,Diesel,5,39767,1,Automatic,20.68,1995,1995,188,34425,BMW,X1
34,22,Petrol,5,8175,1,Automatic,22.56,1197,1197,8850,11313.000000000002,Maruti,Swift
35,18,Diesel,5,40637,1,Automatic,17.6,1582,1582,1262,14715,Hyundai,Creta
36,20,Petrol,5,62137,1,Manual,17.8,1198,1198,867,5332.5,Honda,Amaze
37,22,CNG,5,18641,1,Manual,26.49,1199,1199,72,9787.5,Tata,Tiago
38,17,Diesel,5,38525,1,Manual,1498,986,986,200,6412.5,Honda,Jazz
39,10,Petrol,4,24854,1,Automatic,10.98,1984,1984,1144,16132.499999999998,Volkswagen,Beetle
40,21,Diesel,6,21747,1,Automatic,12.4,1996,1996,21501,47250,MG,Gloster
41,10,Petrol,5,62463,1,Manual,16.1,1197,1197,85,2821.5,Maruti,Swift
42,15,Petrol,5,51573,2,Automatic,18,1497,1497,1173,8437.5,Honda,City
43,11,Petrol,5,24973,2,Manual,998,671,671,90,2862,Maruti,Wagon
44,15,Diesel,5,38619,1,Automatic,18.53,1968,1968,18774,27000,Audi,A6
45,17,Petrol,5,30447,1,Manual,15.29,1591,1591,1213,11272.5,Hyundai,Creta
46,17,Petrol,5,34930,1,Manual,21.4,1197,1197,831,6790.5,Maruti,Baleno
47,18,Petrol,5,32932,1,Manual,17.1,1496,1496,10594,9382.5,Toyota,Yaris
48,15,Diesel,7,62137,1,Automatic,12.55,2982,2982,1685,21600,Toyota,Fortuner
49,20,Petrol,5,22584,1,Automatic,16.8,1353,1353,13808,20547,Hyundai,Creta
50,18,Diesel,5,29825,1,Automatic,13.5,1999,1999,177,36382.5,Jaguar,XE
51,19,Petrol,5,26158,1,Manual,18.6,1197,1197,8186,9045,Hyundai,i20
52,20,Diesel,5,24854,1,Manual,17.1,1956,1956,170,14512.5,Jeep,Compass
53,19,Diesel,5,39767,1,Automatic,20.68,1995,1995,188,34425,BMW,X1
54,22,Petrol,5,8175,1,Automatic,22.56,1197,1197,8850,11313.000000000002,Maruti,Swift
55,18,Diesel,5,40637,1,Automatic,17.6,1582,1582,1262,14715,Hyundai,Creta
56,20,Petrol,5,62137,1,Manual,17.8,1198,1198,867,5332.5,Honda,Amaze
57,22,CNG,5,18641,1,Manual,26.49,1199,1199,72,9787.5,Tata,Tiago
58,17,Diesel,5,38525,1,Manual,1498,986,986,200,6412.5,Honda,Jazz
59,10,Petrol,4,24854,1,Automatic,10.98,1984,1984,1144,16132.499999999998,Volkswagen,Beetle
60,23,Petrol,5,6387,1,Automatic,18.4,1498,1498,11935,21600,Honda,City
61,15,Petrol,5,10738,1,Manual,21.4,1197,1197,831,7357.5,Maruti,Baleno
62,19,Petrol,5,18951,1,Automatic,14.4,1997,1997,15189,30982.5,Honda,CR-V
63,20,Diesel,5,37751,1,Manual,20.8,1493,1493,11343,18238.5,Kia,Seltos
64,21,Petrol,5,15534,2,Automatic,11.9,1950,1950,20115,55012.5,Mercedes-Benz,C-Class
65,18,Diesel,7,29204,1,Manual,15.4,2179,2179,13678,19575,Mahindra,Scorpio
66,20,Petrol,5,36857,1,Automatic,16.2,1353,1353,138,18886.5,Kia,Seltos
67,21,Petrol,5,29825,3,Manual,17.1,1496,1496,1055,9382.5,Toyota,Yaris
68,23,Petrol,5,12427,1,Automatic,14.82,1998,1998,24808,87750,BMW,5
69,20,Petrol,5,7769,1,Automatic,22,999,999,67,6952.500000000001,Renault,KWID
70,21,Petrol,5,6213,1,Manual,14.3,1368,1368,16077,21532.5,Jeep,Compass
71,11,Petrol,5,45805,2,Manual,16.1,1197,1197,85,3253.5,Maruti,Swift
72,20,Diesel,7,55923,2,Automatic,11.3,2987,2987,2548,43875,Mercedes-Benz,GL-Class
73,17,Petrol,5,10563,1,Automatic,17.1,1199,1199,8850,8032.5,Honda,Jazz
74,14,Petrol,5,22398,1,Automatic,18.9,1197,1197,82,5832,Hyundai,Grand
75,18,CNG,5,27961,1,Manual,998,5833,5833,78,6007.5,Maruti,Wagon
76,20,Diesel,5,62137,1,Manual,19.3,1248,1248,739,2700,Maruti,Swift
77,16,Petrol,5,31068,2,Manual,20.36,1197,1197,789,4657.5,Hyundai,i10
78,18,Petrol,5,31689,1,Manual,22,1197,1197,8180,7425,Maruti,Swift
79,18,Diesel,7,38525,2,Manual,2179,15287,15287,360,11475,Mahindra,XUV500
80,23,Petrol,5,6387,1,Automatic,18.4,1498,1498,11935,21600,Honda,City
81,15,Petrol,5,10738,1,Manual,21.4,1197,1197,831,7357.5,Maruti,Baleno
82,19,Petrol,5,18951,1,Automatic,14.4,1997,1997,15189,30982.5,Honda,CR-V
83,20,Diesel,5,37751,1,Manual,20.8,1493,1493,11343,18238.5,Kia,Seltos
84,21,Petrol,5,15534,2,Automatic,11.9,1950,1950,20115,55012.5,Mercedes-Benz,C-Class
85,18,Diesel,7,29204,1,Manual,15.4,2179,2179,13678,19575,Mahindra,Scorpio
86,20,Petrol,5,36857,1,Automatic,16.2,1353,1353,138,18886.5,Kia,Seltos
87,21,Petrol,5,29825,3,Manual,17.1,1496,1496,1055,9382.5,Toyota,Yaris
88,23,Petrol,5,12427,1,Automatic,14.82,1998,1998,24808,87750,BMW,5
89,20,Petrol,5,7769,1,Automatic,22,999,999,67,6952.500000000001,Renault,KWID
90,21,Petrol,5,6213,1,Manual,14.3,1368,1368,16077,21532.5,Jeep,Compass
91,11,Petrol,5,45805,2,Manual,16.1,1197,1197,85,3253.5,Maruti,Swift
92,20,Diesel,7,55923,2,Automatic,11.3,2987,2987,2548,43875,Mercedes-Benz,GL-Class
93,17,Petrol,5,10563,1,Automatic,17.1,1199,1199,8850,8032.5,Honda,Jazz
94,14,Petrol,5,22398,1,Automatic,18.9,1197,1197,82,5832,Hyundai,Grand
95,18,CNG,5,27961,1,Manual,998,5833,5833,78,6007.5,Maruti,Wagon
96,20,Diesel,5,62137,1,Manual,19.3,1248,1248,739,2700,Maruti,Swift
97,16,Petrol,5,31068,2,Manual,20.36,1197,1197,789,4657.5,Hyundai,i10
98,18,Petrol,5,31689,1,Manual,22,1197,1197,8180,7425,Maruti,Swift
99,18,Diesel,7,38525,2,Manual,2179,15287,15287,360,11475,Mahindra,XUV500
100,17,Petrol,5,27961,1,Automatic,19.16,2494,2494,1577,30375,Toyota,Camry
101,21,Petrol,5,10588,1,Automatic,20.28,998,998,11841,14161.5,Hyundai,i20
102,18,Diesel,7,30447,1,Manual,16,1997,1997,140,12487.5,Mahindra,XUV500
103,20,Petrol,5,14656,1,Manual,18.27,998,998,11835,12419.999999999998,Hyundai,Venue
104,18,Diesel,5,31068,2,Automatic,17.9,2143,2143,1341,29700,Mercedes-Benz,CLA
105,17,Diesel,7,47224,1,Automatic,11.36,2755,2755,1715,19912.5,Toyota,Innova
106,19,Petrol,5,30659,1,Manual,21.01,1197,1197,8180,7776,Maruti,Baleno
107,13,Petrol,5,34796,1,Manual,18,1198,1198,867,4387.5,Honda,Amaze
108,23,Petrol,6,7456,1,Automatic,12.34,1451,1451,141,28350,MG,Hector
109,14,Petrol,5,32146,1,Manual,17.8,1497,1497,1173,7722,Honda,City
110,18,Petrol,5,13670,1,Manual,22,1197,1197,8180,7762.5,Maruti,Swift
111,18,Diesel,5,28013,1,Manual,20.5,1582,1582,1262,12447,Hyundai,Creta
112,20,Diesel,7,12427,1,Automatic,15.4,2179,2179,120,14850,Mahindra,Scorpio
113,16,Petrol,5,18019,1,Manual,17.8,1198,1198,867,6480,Honda,Amaze
114,22,Petrol,5,10416,1,Manual,18.27,998,998,11835,13081.5,Hyundai,Venue
115,22,Petrol,5,3728,1,Manual,19.33,1199,1199,8683,9382.5,Tata,Altroz
116,20,Diesel,5,37282,1,Automatic,2993,26149,26149,620,74250,BMW,7
117,15,Diesel,7,53437,1,Manual,15.1,2179,2179,140,7357.5,Mahindra,XUV500
118,18,Petrol,5,14912,1,Automatic,17.1,1199,1199,8850,8842.5,Honda,Jazz
119,21,Petrol,5,5592,1,Manual,20.36,1197,1197,8180,10462.5,Hyundai,Venue
120,17,Petrol,5,27961,1,Automatic,19.16,2494,2494,1577,30375,Toyota,Camry
121,21,Petrol,5,10588,1,Automatic,20.28,998,998,11841,14161.5,Hyundai,i20
122,18,Diesel,7,30447,1,Manual,16,1997,1997,140,12487.5,Mahindra,XUV500
123,20,Petrol,5,14656,1,Manual,18.27,998,998,11835,12419.999999999998,Hyundai,Venue
124,18,Diesel,5,31068,2,Automatic,17.9,2143,2143,1341,29700,Mercedes-Benz,CLA
125,17,Diesel,7,47224,1,Automatic,11.36,2755,2755,1715,19912.5,Toyota,Innova
126,19,Petrol,5,30659,1,Manual,21.01,1197,1197,8180,7776,Maruti,Baleno
