year_made,fuel_type,seats,mileage,ownership,transmission,fuel_economy,engine(cc),horsepower,torque(Nm),price,Make,Model
17,Petrol,5,34796,1,Automatic,7.81,2996.0,2996.0,333.0,86062.5,Mercedes-Benz,S-Class
21,Petrol,5,19023,1,Automatic,17.4,999.0,999.0,9863.0,12136.5,Nissan,Magnite
18,Diesel,5,14912,1,Automatic,20.68,1995.0,1995.0,188.0,32062.5,BMW,X1
19,Petrol,5,11419,1,Manual,16.5,1353.0,1353.0,13808.0,18306.0,Kia,Seltos
19,Petrol,5,27899,1,Automatic,14.67,1798.0,1798.0,17746.0,32400.0,Skoda,Superb
17,Petrol,5,26097,1,Manual,18.7,1199.0,1199.0,887.0,7357.5,Honda,Jazz
19,Petrol,5,22828,1,Manual,18.9,1197.0,1197.0,8186.0,6912.0,Hyundai,Grand
18,Petrol,5,47224,1,Manual,15.8,1591.0,1591.0,1213.0,12555.000000000002,Hyundai,Creta
15,Diesel,5,42253,2,Automatic,13.5,2987.0,2987.0,25479.0,56700.0,Mercedes-Benz,S-Class
19,Petrol,5,17884,1,Manual,17.0,1198.0,1198.0,1085.0,10827.0,Tata,Nexon
20,Petrol,5,24854,1,Automatic,17.4,1497.0,1497.0,1176.0,14782.499999999998,Honda,City
22,Petrol,5,10800,1,Manual,16.42,1498.0,1498.0,10455.0,12136.5,Renault,Duster
20,Diesel,5,74564,1,Automatic,18.88,1995.0,1995.0,184.0,10057.5,BMW,3
22,Petrol,5,10563,1,Automatic,18.15,998.0,998.0,11835.0,14782.499999999998,Hyundai,Venue
19,Petrol,5,16694,1,Manual,18.9,1197.0,1197.0,8186.0,7803.0,Hyundai,Grand
22,Petrol,5,18641,1,Manual,21.0,1197.0,1197.0,8180.0,12082.499999999998,Hyundai,i20
20,Diesel,5,93205,1,Automatic,18.88,1995.0,1995.0,184.0,11475.0,BMW,3
18,Diesel,5,32932,1,Automatic,22.69,1995.0,1995.0,190.0,31725.0,BMW,3
19,Petrol,5,24854,1,Manual,17.0,1497.0,1497.0,12136.0,10732.5,Ford,Ecosport
20,Petrol,5,29825,1,Automatic,14.1,1368.0,1368.0,16077.0,25582.5,Jeep,Compass
21,Diesel,6,21747,1,Automatic,12.4,1996.0,1996.0,21501.0,47250.0,MG,Gloster
10,Petrol,5,62463,1,Manual,16.1,1197.0,1197.0,85.0,2821.5,Maruti,Swift
15,Petrol,5,51573,2,Automatic,18.0,1497.0,1497.0,1173.0,8437.5,Honda,City
11,Petrol,5,24973,2,Manual,998.0,671.0,671.0,90.0,2862.0,Maruti,Wagon
15,Diesel,5,38619,1,Automatic,18.53,1968.0,1968.0,18774.0,27000.0,Audi,A6
17,Petrol,5,30447,1,Manual,15.29,1591.0,1591.0,1213.0,11272.5,Hyundai,Creta
17,Petrol,5,34930,1,Manual,21.4,1197.0,1197.0,831.0,6790.5,Maruti,Baleno
18,Petrol,5,32932,1,Manual,17.1,1496.0,1496.0,10594.0,9382.5,Toyota,Yaris
15,Diesel,7,62137,1,Automatic,12.55,2982.0,2982.0,1685.0,21600.0,Toyota,Fortuner
20,Petrol,5,22584,1,Automatic,16.8,1353.0,1353.0,13808.0,20547.0,Hyundai,Creta
18,Diesel,5,29825,1,Automatic,13.5,1999.0,1999.0,177.0,36382.5,Jaguar,XE
19,Petrol,5,26158,1,Manual,18.6,1197.0,1197.0,8186.0,9045.0,Hyundai,i20
20,Diesel,5,24854,1,Manual,17.1,1956.0,1956.0,170.0,14512.5,Jeep,Compass
19,Diesel,5,39767,1,Automatic,20.68,1995.0,1995.0,188.0,34425.0,BMW,X1
22,Petrol,5,8175,1,Automatic,22.56,1197.0,1197.0,8850.0,11313.000000000002,Maruti,Swift
18,Diesel,5,40637,1,Automatic,17.6,1582.0,1582.0,1262.0,14715.0,Hyundai,Creta
20,Petrol,5,62137,1,Manual,17.8,1198.0,1198.0,867.0,5332.5,Honda,Amaze
22,CNG,5,18641,1,Manual,26.49,1199.0,1199.0,72.0,9787.5,Tata,Tiago
17,Diesel,5,38525,1,Manual,1498.0,986.0,986.0,200.0,6412.5,Honda,Jazz
10,Petrol,4,24854,1,Automatic,10.98,1984.0,1984.0,1144.0,16132.499999999998,Volkswagen,Beetle
21,Diesel,6,21747,1,Automatic,12.4,1996.0,1996.0,21501.0,47250.0,MG,Gloster
10,Petrol,5,62463,1,Manual,16.1,1197.0,1197.0,85.0,2821.5,Maruti,Swift
15,Petrol,5,51573,2,Automatic,18.0,1497.0,1497.0,1173.0,8437.5,Honda,City
11,Petrol,5,24973,2,Manual,998.0,671.0,671.0,90.0,2862.0,Maruti,Wagon
15,Diesel,5,38619,1,Automatic,18.53,1968.0,1968.0,18774.0,27000.0,Audi,A6
17,Petrol,5,30447,1,Manual,15.29,1591.0,1591.0,1213.0,11272.5,Hyundai,Creta
17,Petrol,5,34930,1,Manual,21.4,1197.0,1197.0,831.0,6790.5,Maruti,Baleno
18,Petrol,5,32932,1,Manual,17.1,1496.0,1496.0,10594.0,9382.5,Toyota,Yaris
15,Diesel,7,62137,1,Automatic,12.55,2982.0,2982.0,1685.0,21600.0,Toyota,Fortuner
20,Petrol,5,22584,1,Automatic,16.8,1353.0,1353.0,13808.0,20547.0,Hyundai,Creta
18,Diesel,5,29825,1,Automatic,13.5,1999.0,1999.0,177.0,36382.5,Jaguar,XE
19,Petrol,5,26158,1,Manual,18.6,1197.0,1197.0,8186.0,9045.0,Hyundai,i20
20,Diesel,5,24854,1,Manual,17.1,1956.0,1956.0,170.0,14512.5,Jeep,Compass
19,Diesel,5,39767,1,Automatic,20.68,1995.0,1995.0,188.0,34425.0,BMW,X1
22,Petrol,5,8175,1,Automatic,22.56,1197.0,1197.0,8850.0,11313.000000000002,Maruti,Swift
18,Diesel,5,40637,1,Automatic,17.6,1582.0,1582.0,1262.0,14715.0,Hyundai,Creta
20,Petrol,5,62137,1,Manual,17.8,1198.0,1198.0,867.0,5332.5,Honda,Amaze
22,CNG,5,18641,1,Manual,26.49,1199.0,1199.0,72.0,9787.5,Tata,Tiago
