index,fuel_type,seats,mileage,ownership,transmission,fuel_economy,engine(cc),horsepower,torque(Nm),price,Make,Model,car_rating
0,Petrol,5,0.06842173286275288,0.0,Automatic,0.0,9.174846625780943e-10,9.174846625780943e-10,0.00021573161348814124,0.0008964413777339677,Mercedes-Benz,S-Class,23.380796052888396
1,Petrol,5,0.0370592036585972,0.0,Automatic,0.002404599580260719,3.049079754605903e-10,3.049079754605903e-10,0.00672181476710202,0.00011414448777839683,Nissan,Magnite,40.75342533463902
2,Diesel,5,0.028885022617686534,0.0,Automatic,0.0032270277995782547,6.10429447853697e-10,6.10429447853697e-10,0.00011674084147617769,0.00032500464292347037,BMW,X1,29.366445843454457
3,Petrol,5,0.02193965302977581,0.0,Manual,0.0021789333005699327,4.1349693251597157e-10,4.1349693251597157e-10,0.009415046460806821,0.00017943113473049615,Kia,Seltos,33.962524177493485
4,Petrol,5,0.054707958443107815,0.0,Automatic,0.0017200785318653325,5.500000000008435e-10,5.500000000008435e-10,0.012103499289655872,0.00032857612251603596,Skoda,Superb,32.43383021320652
5,Petrol,5,0.05112491922254809,0.0,Manual,0.002730561984258523,3.662576687122182e-10,3.662576687122182e-10,0.0005939446320717813,6.357233674766783e-05,Honda,Jazz,24.438775011845944
6,Petrol,5,0.044624944077148676,0.0,Manual,0.002780710046412031,3.656441717797019e-10,3.656441717797019e-10,0.005576935286660208,5.8857983685481224e-05,Hyundai,Grand,32.677262748225715
7,Petrol,5,0.09313317094994282,0.0,Manual,0.0020034150830326542,4.865030674854087e-10,4.865030674854087e-10,0.000816503195353851,0.00011857312247317821,Hyundai,Creta,26.15015713925598
8,Diesel,5,0.08324899338867624,0.5,Automatic,0.0014267123682673091,9.14723926381771e-10,9.14723926381771e-10,0.017382779565300797,0.0005857226531807598,Mercedes-Benz,S-Class,-8.986990346097212
9,Petrol,5,0.03479445245314908,0.0,Manual,0.0023043034559537033,3.6595092024596e-10,3.6595092024596e-10,0.000729118237991566,0.00010028714695924227,Tata,Nexon,32.89967558058216
10,Petrol,5,0.04865337774021971,0.0,Automatic,0.002404599580260719,4.5766871165714363e-10,4.5766871165714363e-10,0.0007912434811163155,0.0001421448877841112,Honda,City,36.047178109724086
11,Petrol,5,0.020708853208728936,0.0,Manual,0.0021588740757085296,4.579754601234018e-10,4.579754601234018e-10,0.0071259701949025886,0.00011414448777839683,Renault,Duster,45.40766815143313
12,Diesel,5,0.1474951533528856,0.0,Automatic,0.00277569524019668,6.10429447853697e-10,6.10429447853697e-10,0.0001140100615586063,9.214417348819269e-05,BMW,3,31.11068469628815
13,Petrol,5,0.020237609981607594,0.0,Automatic,0.0025926548133363755,3.046012269943322e-10,3.046012269943322e-10,0.008068089266464724,0.0001421448877841112,Hyundai,Venue,45.49828747328722
14,Petrol,5,0.032428294477307745,0.0,Manual,0.002780710046412031,3.656441717797019e-10,3.656441717797019e-10,0.005576935286660208,6.828668980985442e-05,Hyundai,Grand,33.284360658325525
15,Petrol,5,0.03629964706467167,0.0,Manual,0.003307264699023868,3.656441717797019e-10,3.656441717797019e-10,0.00557283911678385,0.00011357305104358633,Hyundai,i20,44.61089022990198
16,Diesel,5,0.1845603221156236,0.0,Automatic,0.00277569524019668,6.10429447853697e-10,6.10429447853697e-10,0.0001140100615586063,0.00010714438777696824,BMW,3,29.263561936438354
17,Diesel,5,0.06471541482328377,0.0,Automatic,0.0037310158242210125,6.10429447853697e-10,6.10429447853697e-10,0.00011810623143496341,0.0003214331633309047,BMW,3,27.60693158065255
18,Petrol,5,0.04865337774021971,0.0,Manual,0.0023043034559537033,4.5766871165714363e-10,4.5766871165714363e-10,0.008273580455261973,9.92871326733239e-05,Ford,Ecosport,32.58517482114559
19,Petrol,5,0.0585375553014863,0.0,Automatic,0.0015771565547278337,4.180981595098437e-10,4.180981595098437e-10,0.010964081369049203,0.00025643223474621066,Jeep,Compass,36.01464588080751
20,Diesel,6,0.04247551821842223,0.0,Automatic,0.001150898026423014,6.107361963199551e-10,6.107361963199551e-10,0.014667018937276032,0.00048572122458892276,MG,Gloster,40.798438102399366
21,Petrol,5,0.1234339116170403,0.0,Manual,0.002078637176262917,3.656441717797019e-10,3.656441717797019e-10,4.6423258598713934e-05,1.5571651023586054e-05,Maruti,Swift,-6.04369151822614
22,Petrol,5,0.10178058358602177,0.5,Automatic,0.0025550437667212446,4.5766871165714363e-10,4.5766871165714363e-10,0.000789195396178137,7.500107144387777e-05,Honda,City,-10.655078131511766
23,Petrol,5,0.04888999353780384,0.5,Manual,0.24828054831891155,2.042944785279207e-10,2.042944785279207e-10,4.9836733495678206e-05,1.6000228574693924e-05,Maruti,Wagon,-11.14109490776428
24,Diesel,5,0.07602326390614901,0.0,Automatic,0.0026879361314280413,6.021472392647272e-10,6.021472392647272e-10,0.012805309728471725,0.0002714324490349862,Audi,A6,16.130565317550545
25,Petrol,5,0.059774320226673956,0.0,Manual,0.0018755375245412078,4.865030674854087e-10,4.865030674854087e-10,0.000816503195353851,0.00010500150002142888,Hyundai,Creta,23.97434151999759
26,Petrol,5,0.0686881741810409,0.0,Manual,0.003407560823330884,3.656441717797019e-10,3.656441717797019e-10,0.0005557137132257816,5.7572251032157596e-05,Maruti,Baleno,23.595992382359
27,Petrol,5,0.06471541482328377,0.0,Manual,0.002329377487030458,4.573619631908855e-10,4.573619631908855e-10,0.0072208647970381954,8.500121430306147e-05,Toyota,Yaris,27.902706601838155
28,Diesel,7,0.1227857036337426,0.0,Automatic,0.0011885090730381453,9.131901840504803e-10,9.131901840504803e-10,0.0011387352256272772,0.00021428877555393648,Toyota,Fortuner,13.148118377905668
29,Petrol,5,0.04413978227369886,0.0,Automatic,0.0022541553938001955,4.1349693251597157e-10,4.1349693251597157e-10,0.009415046460806821,0.0002031457592251318,Hyundai,Creta,36.69107546388925
30,Diesel,5,0.0585375553014863,0.0,Automatic,0.0014267123682673091,6.116564417187295e-10,6.116564417187295e-10,0.00010923119670285633,0.00037071958170831014,Jaguar,XE,27.79699280263231
31,Petrol,5,0.051246209673410544,0.0,Manual,0.002705487953181769,3.656441717797019e-10,3.656441717797019e-10,0.005576935286660208,8.142973471049586e-05,Hyundai,i20,32.3425574877116
32,Diesel,5,0.04865337774021971,0.0,Manual,0.002329377487030458,5.984662576696295e-10,5.984662576696295e-10,0.00010445233184710636,0.0001392877041100587,Jeep,Compass,36.00936128004883
33,Diesel,5,0.07830591042401948,0.0,Automatic,0.0032270277995782547,6.10429447853697e-10,6.10429447853697e-10,0.00011674084147617769,0.0003500050000714296,BMW,X1,30.735202840381408
34,Petrol,5,0.015489387085549536,0.0,Automatic,0.0036984195838212315,3.656441717797019e-10,3.656441717797019e-10,0.0060302447529770615,0.00010543007757253677,Maruti,Swift,45.69021490594881
35,Diesel,5,0.08003579062484464,0.0,Automatic,0.0024547476424142288,4.837423312890855e-10,4.837423312890855e-10,0.0008499552493441008,0.0001414305918655981,Hyundai,Creta,26.82560458528709
36,Petrol,5,0.1227857036337426,0.0,Manual,0.0025048957045677367,3.6595092024596e-10,3.6595092024596e-10,0.0005802907324839242,4.214345919227418e-05,Honda,Amaze,32.3537972101406
37,CNG,5,0.03629964706467167,0.0,Manual,0.0046838290051376685,3.662576687122182e-10,3.662576687122182e-10,3.7548223866606866e-05,8.928698981414021e-05,Tata,Tiago,44.40493595825979
38,Diesel,5,0.07583635730973802,0.0,Manual,0.3736507037026821,3.009202453992345e-10,3.009202453992345e-10,0.00012493318122889192,5.357219388848412e-05,Honda,Jazz,41.662054827453446
39,Petrol,4,0.04865337774021971,0.0,Automatic,0.0007948467851331058,6.070552147248575e-10,6.070552147248575e-10,0.0007693972417757442,0.0001564308061543736,Volkswagen,Beetle,-2.3535048499893314
40,Diesel,6,0.04247551821842223,0.0,Automatic,0.001150898026423014,6.107361963199551e-10,6.107361963199551e-10,0.014667018937276032,0.00048572122458892276,MG,Gloster,40.798438102399366
41,Petrol,5,0.1234339116170403,0.0,Manual,0.002078637176262917,3.656441717797019e-10,3.656441717797019e-10,4.6423258598713934e-05,1.5571651023586054e-05,Maruti,Swift,-6.04369151822614
42,Petrol,5,0.10178058358602177,0.5,Automatic,0.0025550437667212446,4.5766871165714363e-10,4.5766871165714363e-10,0.000789195396178137,7.500107144387777e-05,Honda,City,-10.655078131511766
43,Petrol,5,0.04888999353780384,0.5,Manual,0.24828054831891155,2.042944785279207e-10,2.042944785279207e-10,4.9836733495678206e-05,1.6000228574693924e-05,Maruti,Wagon,-11.14109490776428
44,Diesel,5,0.07602326390614901,0.0,Automatic,0.0026879361314280413,6.021472392647272e-10,6.021472392647272e-10,0.012805309728471725,0.0002714324490349862,Audi,A6,16.130565317550545
45,Petrol,5,0.059774320226673956,0.0,Manual,0.0018755375245412078,4.865030674854087e-10,4.865030674854087e-10,0.000816503195353851,0.00010500150002142888,Hyundai,Creta,23.97434151999759
46,Petrol,5,0.0686881741810409,0.0,Manual,0.003407560823330884,3.656441717797019e-10,3.656441717797019e-10,0.0005557137132257816,5.7572251032157596e-05,Maruti,Baleno,23.595992382359
